,nombre_reviwer,calificacion,tiempo,fecha_de_extraccion,fecha_del_comentario,hora,comentario,calidad_del_reviewer,id_local,pais,ciudad,sentimiento
37,Juan Camilo Ramírez Franco, 4 estrellas ,hace 4 meses,2021-05-02 22:01:16.305593,2021-01-02 22:01:16.305593,,Bonito bar en Medellín. Buena atención.,Local Guide ・30 opiniones,"@6.2083763,-75.6008363",,,
38,jorge luis montoya, 5 estrellas ,hace 5 meses,2021-05-02 22:01:16.305593,2020-12-02 22:01:16.305593,,Buena comida y atención,Local Guide ・55 opiniones,"@6.2083763,-75.6008363",,,
39,Andres Ochoa, 3 estrellas ,hace 7 meses,2021-05-02 22:01:16.305593,2020-10-02 22:01:16.305593,,"La comida no es la más espectacular. Está bien, nada del otro mundo.",Local Guide ・65 opiniones,"@6.2083763,-75.6008363",,,
40,Daniela Arias, 5 estrellas ,hace 4 meses,2021-05-02 22:01:16.305593,2021-01-02 22:01:16.305593,,"Super el lugar, el ambiente es muy chevere",Local Guide ・56 opiniones,"@6.2083763,-75.6008363",,,
41,monica escobar, 4 estrellas ,2 años atrás,2021-05-02 22:01:16.305593,2019-05-02 22:01:16.305593,,"Estuve almorzando con mi familia  y la comida estuvo rica.
Tuvieron problemas con uno de los platos y nos dieron uno de cortesía.
El lugar es muy agradable, la música muy buena y el servicio es
muy amable.
Tienen buenos Gin  Tonics  y  cócteles.
Recomendamos las fajitas y el ceviche",Local Guide ・184 opiniones,"@6.2083763,-75.6008363",,,
42,luisa fernanda Moncada, 5 estrellas ,2 años atrás,2021-05-02 22:01:16.305593,2019-05-02 22:01:16.305593,,"Un lugar hermoso y acogedor, Cócteles deliciosos.
El precio es adecuado para la experiencia.",Local Guide ・18 opiniones,"@6.2083763,-75.6008363",,,
43,kelly, 5 estrellas ,hace 7 meses,2021-05-02 22:01:16.305593,2020-10-02 22:01:16.305593,,"A pesar de la pandemia se ha mantenido y sobrevivido los locales, sigue el ambiente igual de chévere",Local Guide ・46 opiniones,"@6.2083763,-75.6008363",,,
44,Ernest Pa, 5 estrellas ,3 años atrás,2021-05-02 22:01:16.305593,2018-05-02 22:01:16.305593,,Excelente lugar para pasarla bien con tus amigos ...,Local Guide ・52 opiniones,"@6.2083763,-75.6008363",,,
45,Angélica Maria Guerrero González, 5 estrellas ,un año atrás,2021-05-02 22:01:16.305593,2020-05-02 22:01:16.305593,,"Definitivamente, uno de los mejores restaurantes de Medellín. Tienen una gran variedad en su Menú. Recomiendo la entrada de guacamole y la hamburguesa machete, la cual viene bañada en queso cheddar 🤤. Por un promedio de $35.000 COP, podrán disfrutar y deleitar su paladar con exquisitos platos.",Local Guide ・169 opiniones,"@6.2083763,-75.6008363",,,
46,William Cardona, 5 estrellas ,hace 5 meses,2021-05-02 22:01:16.305593,2020-12-02 22:01:16.305593,,Agradable sitio para comer y tomar algo.,Local Guide ・102 opiniones,"@6.2083763,-75.6008363",,,
47,Miguel Rodríguez, 5 estrellas ,2 años atrás,2021-05-02 22:01:16.305593,2019-05-02 22:01:16.305593,,Muy buena comida,Local Guide ・10 opiniones,"@6.2083763,-75.6008363",,,
48,Julio Cesar Correa Aguirre, 5 estrellas ,un año atrás,2021-05-02 22:01:16.305593,2020-05-02 22:01:16.305593,,"Buen y agradable lugar para compartir y disfrutar de buena comida, sobre todo el saborcito delicioso se de esas papitas criollas para picar...",Local Guide ・47 opiniones,"@6.2083763,-75.6008363",,,
49,Eddy Martínez, 1 estrella ,hace 4 meses,2021-05-02 22:01:16.305593,2021-01-02 22:01:16.305593,,"El mesero que nos atendió fue súper grosero... pedí una bebida y me trajeron todo lo contrario

PÉSIMO SERVICIO",4 opiniones,"@6.2083763,-75.6008363",,,
50,A A, 5 estrellas ,un año atrás,2021-05-02 22:01:16.305593,2020-05-02 22:01:16.305593,,"La comida es deliciosa, el servicio es bueno, en ocasiones cuentan con música en vivo. Siempre será una buena decisión ir a este restaurante.",Local Guide ・139 opiniones,"@6.2083763,-75.6008363",,,
51,Paulita Pinzon, 5 estrellas ,hace un mes,2021-05-02 22:01:16.305593,2021-04-02 22:01:16.305593,,"Muy delicioso todo, recomendado",9 opiniones,"@6.2083763,-75.6008363",,,
52,Juan Rengifo, 5 estrellas ,un año atrás,2021-05-02 22:01:16.305593,2020-05-02 22:01:16.305593,,"Buen servicio, un sitio agradable con buena música y personal amable, bebidas bien preparadas de buen sabor.",Local Guide ・25 opiniones,"@6.2083763,-75.6008363",,,
53,luis fernando londoño saldarriaga, 5 estrellas ,una semana atrás,2021-05-02 22:01:16.305593,2021-04-25 22:01:16.305593,,Delicioso,3 opiniones,"@6.2083763,-75.6008363",,,
54,DAVID JIMENEZ, 5 estrellas ,una semana atrás,2021-05-02 22:01:16.305593,2021-04-25 22:01:16.305593,,Excelente,Local Guide ・13 opiniones,"@6.2083763,-75.6008363",,,
55,Estefany Henao, 5 estrellas ,hace 7 meses,2021-05-02 22:01:16.305593,2020-10-02 22:01:16.305593,,"Es un sitio rústico, relajado, la comida a precios accesibles, deliciosa y en muy buena cantidad",13 opiniones,"@6.2083763,-75.6008363",,,
56,Bernhard Dominguez, 5 estrellas ,un año atrás,2021-05-02 22:01:16.305593,2020-05-02 22:01:16.305593,,Comida internacional y muy bueno! Perfecto para encontrarse con sus mejores amigos!,Local Guide ・36 opiniones,"@6.2083763,-75.6008363",,,
57,Stephany Silva, 5 estrellas ,2 años atrás,2021-05-02 22:01:16.305593,2019-05-02 22:01:16.305593,,"Uno de mis restaurantes preferidos de Medellin, recomiendo el solomito sterling! aunque los precios son costosos",Local Guide ・28 opiniones,"@6.2083763,-75.6008363",,,
58,Belén Molina, 4 estrellas ,un año atrás,2021-05-02 22:01:16.305593,2020-05-02 22:01:16.305593,,"En general, todo muy bueno, buen ambiente. Por poner un defecto la música demasiado alta para cenar, aunque el dj muy bueno.",Local Guide ・117 opiniones,"@6.2083763,-75.6008363",,,
59,Manuela Toro García, 5 estrellas ,hace 6 meses,2021-05-02 22:01:16.305593,2020-11-02 22:01:16.305593,,Deliciosa la comida,,"@6.2083763,-75.6008363",,,
60,SALÍ Andrés Toro, 5 estrellas ,hace 4 meses,2021-05-02 22:02:06.578734,2021-01-02 22:02:06.578734,,"Se han unido de nuevo, en el mismo local, tal como cuando empezaron, La Pampa parrilla argentina y Kabuki, dos marcas inigualables en calidad y sabor.
La música en vivo varios días de la semana, más la buena atención y servicio,  y por supuesto los deliciosos platos que hay en las dos cartas, te garantizan una experiencia que se va a querer vivir y repetir muchas veces.",Local Guide ・56 opiniones,"@6.2079071,-75.5997232",,,
61,Diego Canas, 5 estrellas ,hace 4 meses,2021-05-02 22:02:06.578734,2021-01-02 22:02:06.578734,,"La amabilidad y servicio de todo el personal excelente. Fuimos en familia un sábado, había música en vivo (noche de son cubano)
El servicio de teppanyaki y su chef recomendadisimo.",Local Guide ・32 opiniones,"@6.2079071,-75.5997232",,,
62,Mary Day Trader, 5 estrellas ,hace un mes,2021-05-02 22:02:06.578734,2021-04-02 22:02:06.578734,,Simplemente MARAVILLOSO. Los platos son deliciosos y la atención es muy buena. Te recomiendo los ñoquis en salsa carbonara y el cheese cake! Me encantó! Se ganaron una cliente feliz y fiel🥰🥰🥰,1 opinión,"@6.2079071,-75.5997232",,,
63,pecaspv, 5 estrellas ,una semana atrás,2021-05-02 22:02:06.578734,2021-04-25 22:02:06.578734,,"Un poco demoró pero valio la pena la espera, muy buenos cortes y excelente sabor",7 opiniones,"@6.2079071,-75.5997232",,,
64,Patry Gómez Mejia, 4 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Es un gran restaurante para comer carnes, excelente calidad y muy buen servicio. Me gustó mucho la barra de ensaladas. Sábado en la noche tienen musica en vivo... El grupo musical que vimos, genial, con muy buenas voces. La atención de Anderson... Excelente. Pasamos un rato muy agradable.",Local Guide ・16 opiniones,"@6.2079071,-75.5997232",,,
65,Alexander Almanza, 1 estrella ,hace un mes,2021-05-02 22:02:06.578734,2021-04-02 22:02:06.578734,,"La verdad fui con unas expectativas muy altas por todo lo que dice Tulio recomienda, no soy el experto en carnes ni nada solo un aficionado pero creo que cuando algo está rico hasta un aficionado sabe reconocerlo y en este caso…",Local Guide ・54 opiniones,"@6.2079071,-75.5997232",,,
66,saul nieto, 5 estrellas ,hace 4 meses,2021-05-02 22:02:06.578734,2021-01-02 22:02:06.578734,,Excelente Sazón y muy buena atención.,Local Guide ・61 opiniones,"@6.2079071,-75.5997232",,,
67,Javier Mauricio Castillo Galindo, 5 estrellas ,hace 2 meses,2021-05-02 22:02:06.578734,2021-03-02 22:02:06.578734,,"Probamos el churrasco y una de sus hamburguesas, la porción es adecuada y el sabor delicioso, nos atendieron muy bien, volveré !!",5 opiniones,"@6.2079071,-75.5997232",,,
68,María ER, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,Delicioso menú. Postres sin igual excelente atención y una administración impecable. Recomendadisimo ...,Local Guide ・9 opiniones,"@6.2079071,-75.5997232",,,
69,Leonardo Restrepo, 5 estrellas ,hace 5 meses,2021-05-02 22:02:06.578734,2020-12-02 22:02:06.578734,,Muy buenas carnes y la atención excelente,5 opiniones,"@6.2079071,-75.5997232",,,
70,Gisell Pastran, 5 estrellas ,3 semanas atrás,2021-05-02 22:02:06.578734,2021-04-11 22:02:06.578734,,La mejor comida,8 opiniones,"@6.2079071,-75.5997232",,,
71,Rosmary Caceres, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Los cortes muy ricos y las hamburguesas, hasta el pan es delicioso. Recomendada la ""monumental"". Cóctel Moscow mule excelente y sangrías. Excelente atención del personal en especial mesero Jonatan. Si estas de cumple te dan una cortesía y te lo cantan! Zona agradable arriba del lleras y sin hacer filas!",Local Guide ・53 opiniones,"@6.2079071,-75.5997232",,,
72,Luz Estefania Useche Arbelaez, 5 estrellas ,hace 5 meses,2021-05-02 22:02:06.578734,2020-12-02 22:02:06.578734,,Maravillosa experiencia después de un largo tiempo sin salir. 💖,23 opiniones,"@6.2079071,-75.5997232",,,
73,Maria Del Mar, 5 estrellas ,2 años atrás,2021-05-02 22:02:06.578734,2019-05-02 22:02:06.578734,,"Muy buena carne, tienen una salsa de mayonesa con Albahaca muy buena.",Local Guide ・33 opiniones,"@6.2079071,-75.5997232",,,
74,J Uran, 5 estrellas ,2 años atrás,2021-05-02 22:02:06.578734,2019-05-02 22:02:06.578734,,"El mejor restaurante en el que e estado, excelente ubicación, comida y sobre sale por su gran atención..",Local Guide ・107 opiniones,"@6.2079071,-75.5997232",,,
75,Jessy Colorado, 4 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Nos encantó celebrar allá el cumpleaños, además del postre, todos los empleados más la banda cantan el cumpleaños, eso nos hizo la noche. La barra de ensaladas es muy buena, opciones variadas y frescas. La sangría rosé estaba deliciosa,…",Local Guide ・19 opiniones,"@6.2079071,-75.5997232",,,
76,Homero Duque, 5 estrellas ,hace 4 meses,2021-05-02 22:02:06.578734,2021-01-02 22:02:06.578734,,"Excelente lugar para una buena comida, acompañado de tu persona favorita",Local Guide ・22 opiniones,"@6.2079071,-75.5997232",,,
77,CARLOS FERNANDO CUEVAS ROMERO, 4 estrellas ,hace 2 meses,2021-05-02 22:02:06.578734,2021-03-02 22:02:06.578734,,"Buen servicio, la comida rica, esperaba un poco más !",8 opiniones,"@6.2079071,-75.5997232",,,
78,RUTH VILLANUEVA, 4 estrellas ,2 años atrás,2021-05-02 22:02:06.578734,2019-05-02 22:02:06.578734,,"Delicioso almuerzo en familia
La próxima una deliciosa cochinilla recomendada por mi amiga Ángela Giraldo.",Local Guide ・33 opiniones,"@6.2079071,-75.5997232",,,
79,Alejandro Ascione Martinez, 5 estrellas ,2 años atrás,2021-05-02 22:02:06.578734,2019-05-02 22:02:06.578734,,"Si quieres comer la verdadera parrilla Argentina, este es el lugar. Uno de los mejores luegares del poblado.",Local Guide ・66 opiniones,"@6.2079071,-75.5997232",,,
80,Anderson Bohorquez, 5 estrellas ,2 años atrás,2021-05-02 22:02:06.578734,2019-05-02 22:02:06.578734,,La comida exelente buena atención el cochinillo muy rico y las costillas deliciosas musica en vivo muu buen lugar recomiendo,Local Guide ・11 opiniones,"@6.2079071,-75.5997232",,,
81,magaly andrea gonzalez grisales, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"La atención fue espectacular, estaban pendientes de nuestra mesa y fueron muy atentos en hacernos sugerencias de acuerdo a lo que queríamos, los platos estaban deliciosos... Y para rematar súper especiales cuando me sorprendieron por mi…",97 opiniones,"@6.2079071,-75.5997232",,,
82,samu xD, 4 estrellas ,hace 5 meses,2021-05-02 22:02:06.578734,2020-12-02 22:02:06.578734,,Las carnes de allí para mí de las mejores solo que la música es muy dura u no puedes casi hablar,Local Guide ・22 opiniones,"@6.2079071,-75.5997232",,,
83,ADRIANA CECILIA ALVAREZ CARMONA, 5 estrellas ,2 años atrás,2021-05-02 22:02:06.578734,2019-05-02 22:02:06.578734,,Muy amable la atención muy acogedor el restaurante.,1 opinión,"@6.2079071,-75.5997232",,,
84,Felix Mauricio Mejia Garcia, 5 estrellas ,hace un mes,2021-05-02 22:02:06.578734,2021-04-02 22:02:06.578734,,Excelente Comida y mejor Servicio,Local Guide ・20 opiniones,"@6.2079071,-75.5997232",,,
85,walter ostos, 5 estrellas ,hace 4 meses,2021-05-02 22:02:06.578734,2021-01-02 22:02:06.578734,,"Tremenda experiencia, menú muy bueno",Local Guide ・29 opiniones,"@6.2079071,-75.5997232",,,
86,Emil Mendoza, 5 estrellas ,2 años atrás,2021-05-02 22:02:06.578734,2019-05-02 22:02:06.578734,,"Excelente comida a un precio relativamente caro pero por la calidad de los platos se pagaría incluso mas.

La.atencion es la maravilla y el personal nunca te descuida",Local Guide ・28 opiniones,"@6.2079071,-75.5997232",,,
87,Alejandro Aguirre Legalcont, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,Es un lugar romántico y a la vez familiar. Los cortes son exquisitos y muy variados. La atención fue impecable y la música en vivo ayuda a disfrutar la Carta de Vinos. Recomiendo hacer reserva y acudir al sitio no sólo en fechas especiales sino cuando te plazca disfrutar el sabor de la deliciosa carne de Res.,Local Guide ・402 opiniones,"@6.2079071,-75.5997232",,,
88,Magga González, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Tienen unos cortes deliciosos, la variedad en la carta es buena y los precios muy asequible, fui para mi cumpleaños y me sorprendieron con el postre y los empleados me cantaron el feliz cumpleaños, fue un lindo detalle...",Local Guide ・82 opiniones,"@6.2079071,-75.5997232",,,
89,Macguiver Delgado, 4 estrellas ,hace 5 meses,2021-05-02 22:02:06.578734,2020-12-02 22:02:06.578734,,Buen lugar para compartir y para disfrutar en pareja,Local Guide ・7 opiniones,"@6.2079071,-75.5997232",,,
90,Brian Vasco Quiroz, 4 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,De los mejores lugares para degustar de una deliciosa y maravillosa carne. La atención es genial y el ambiente con música en vivo le da ese toque especial que no quisieras irte,Local Guide ・66 opiniones,"@6.2079071,-75.5997232",,,
91,Jairo Antonio Trejos Ramirez, 2 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,Es costoso para lo que sirven. El parqueadero cobran 17.000 pesos. No tiene parqueadero. Hay lugares para disfrutar una buena comida y con parqueadero gratis.,11 opiniones,"@6.2079071,-75.5997232",,,
92,Jaime Torres, 4 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,Carne de calidad bien cocinada,Local Guide ・9 opiniones,"@6.2079071,-75.5997232",,,
93,Daniel Penagos Calvete, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"El lugar es agradable, con un buen ambiente, pedí un bife de chorizo pero esperaba que el tamaño fuera más grande",Local Guide ・64 opiniones,"@6.2079071,-75.5997232",,,
94,Ivan Cardona, 5 estrellas ,hace 5 meses,2021-05-02 22:02:06.578734,2020-12-02 22:02:06.578734,,"Muy buena atención, deliciosas carnes",Local Guide ・13 opiniones,"@6.2079071,-75.5997232",,,
95,Nelson de Jesus Perez Q, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,Excelente atención y muy buena sason,6 opiniones,"@6.2079071,-75.5997232",,,
96,Raul Alatorre, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Recomiendo ampliamente este lugar! Magnifica carne! Nos atendió DIEGO, muy amable su atención! Un ejemplo del calor humano y amable del Antioqueño! La hostes muy amable también, una bonita sonrisa cuando llegamos y al salir. Muchas gracias! 🙏",6 opiniones,"@6.2079071,-75.5997232",,,
97,Bibiana Carmona, 4 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,Excelente Servicio e instalaciones.... Una Gastronomía muy varia y exquisita,1 opinión,"@6.2079071,-75.5997232",,,
